Text,Sentiment
watching ps love eating chinese food else youre home alone friday night,Neutral
tour lol live way tennessee p jk would,Neutral
roflmfao love us better dont,Positive
happy mothers day,Positive
wish could attend e3 year small events like nba stanley cup finals keep getting way work work work,Neutral
home ice cream tweetup first tweetup pics camera battery died last night forgot charge,Negative
saturday partytiiime,Positive
thanks love btw happy mothers day mom,Positive
never order chips due unhealthy getting burrito chipotle qdoba doesnt feel right without em,Negative
night light dims leave chat room,Neutral
2am feedings baby fun smiles coos,Positive
cucumber gone limp,Negative
sky monday,Neutral
ah would explain italian colouring,Neutral
movie awesome wish could reload pistols like agent 0 want think gambit,Positive
_shan_west im excited see u forever lil gettin married ps u really get tattoo lol,Positive
let first,Neutral
oh yeahyour mom told thought meant twitter id confused sucks sick,Negative
ugh hate waiting airports couldnt find seat near outlet either,Negative
ahhhcant onewill las vegas weekend noctweetup,Negative
im sad really really sad,Negative
brake time nothing lunch tonite,Neutral
version 2 live interactive transsiberian ticket planner launched,Positive
acquiring centos live cd put memory stick would like boot wonder left home,Neutral
goodness havnt heard lovelovelove old stuff though overture underscore best album think,Positive
ofcourse wait last minute run experiment workthat supervise aka dont get leave work time,Neutral
wishes teased movie night,Positive
happy mothers day hugs,Positive
says diana wan na burn pics dvd cd,Negative
ive tried tried past learn cockney sadly near impossible find books things,Negative
u go mariahnever listen haters fan long grateful ur music cant wait 4 album,Positive
nite nite fellow tweeters goin put ipod n listen westlife missin guys headin sleep early start 7am x,Neutral
ouch hate happens,Negative
tropical depression 1 heading east mrsal65 scared one welcome start hurricane season 09 still looking 4 fl subs,Neutral
good morning tweeters happy monday grab big cup coffee new week,Positive
missing bham,Negative
im sad work today cant win tickets,Negative
marley crying ball throwingkeeps eying door,Negative
christian lacroix one onoff clients gone bust,Negative
easy happy mothers day great mom,Positive
feel useless dont know right im bored,Negative
im entering contest,Neutral
put brats bed im chillin noodle,Positive
well guess think everything thanks much keeping fans loop,Positive
stephen king fo sho,Neutral
bummed didnt get see manchester orchestra bc sold spent night buying tv shows itunes lame,Negative
really aint woth cant anythin right whats wrong,Negative
envious gazes cast upon podium success bitter pill swallowed taste lingering constant reminder unattained heights,Negative
feeling rather lonely brokeoh waiti lonely broke,Negative
sleep im super duper duper excited pour la paris love city,Positive
yes bag goodies lol,Positive
probably coooolest thing weve ever done,Positive
rock guys world night make pancakes next morning,Positive
wasnt loading,Neutral
guess bedtime goodnight twitter bed big empty without,Positive
tidied hoovered whole flat b4 10am today heading out2 german bakery 4 breakfast followed walk park,Neutral
know dont believe half say,Negative
spent hour choosing perfect filter selfie struggle instagram aesthetic real selfiequeen teenvibes,Positive
fighting nagios configuration great tool config bit labour,Positive
next wk c drs maybe would love go mac grill john thought u,Positive
jst wednesday,Neutral
alright cool see tomorrow thank,Positive
would nice,Positive
whats rick,Neutral
mine hayley great,Positive
im mobile web wont let looks awesome thoughand one reads tweets anyway,Neutral
always seem know exactly right thing say thanks youregreat,Positive
_home yes would perfect supposed happen last night still dry usually happens heading appt,Positive
im going bed nighttt nighttt xxo ilys,Neutral
yeah haha 3rd episode well,Neutral
hey u havent spoken ur london bff whats wish vote brodys soon ill tell 2 vote 4u,Positive
would watch home,Neutral
need watch star trek,Neutral
remembered password,Neutral
consolation got bmi tested hahaha says obesed well much unhappy 10 minutes,Negative
one loves brittany forgot flowers,Negative
hulu desktop windows 7 media center extenders unfortunately,Negative
hey pleasant surprise,Positive
guess need get iphone sure looks bad,Negative
awake give im going ready today,Neutral
hahahahaha rember riped william picture one claires mags beated zoe,Neutral
night want john,Negative
oo ok opened twitterfon said reply like lauren conrad andswere haha,Neutral
afraid daughters gon na write memoir im ungodly mix miles betty davis eve,Negative
try go tell everyone goes montreal check even people live,Neutral
byebye,Neutral
boingo connected without fuss time slowern snail piss mdw food count concourses b,Neutral
jonas demi miss niiick soul asasgdygyasdgy,Negative
put spoon,Neutral
shes finished pretenders x,Neutral
awh thats good get better soon,Negative
_i_am_jes yay congrats im afraid check grades,Neutral
download failed phone like phone,Negative
apparently im falling apart front eyes,Negative
dont get much time either going get worse girls r home summer stinks,Negative
horrible nightmares gon na go back sleep,Negative
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup 6hrs,Neutral
press ctrl bottom right ky,Neutral
long night ahead,Negative
wish paramore would come ireland,Neutral
madaya ka christian bleh hate u,Negative
firefly weekend scifi channel im happy man,Positive
wow love thanks,Positive
naplan testing tuesday wednesday thursday im afraid maths one english much,Negative
rains sucks much second day row,Negative
upset see carys donna go today miss hugely already yes ok like 3 hours haaawaaaah,Negative
attended vintage car show reminiscing classics ruled roads nostalgia every rev vintagecars classicrides,Positive
oh ok guess next time,Neutral
repinging _b pathetic mom best friend hell know talk mom bout everything everythinggg,Positive
really dont like weather,Negative
yeeeeah seen empire top 100 computer games,Neutral
_coppinger nope day sleep time ha,Neutral
looking coal harbour cant find,Negative
fries arizona 1130 thats thing ate today feeeeeed meeeeee,Negative
interesting today say least overall good day,Positive
kinda done trying ugh oh well worth effort long day tomorrow night tweeters,Neutral
happy mothers day,Positive
daddy leftwithout,Negative
ohokdidnt know,Neutral
aaaaaw want live usa,Neutral
whoo hoo chuck although gloomy today much better day,Positive
dun wan na,Neutral
finally way home,Neutral
attempt sync facebook twitter seems failed,Negative
thanks janis,Positive
need go shopping boring day tdaynothing dooo college tmrohow excitin wish twitter simplified 3,Negative
time ticking sooo sloooooooooowlyyyyyyyyyyyyy,Negative
tummy hurts,Negative
youre kidding say fast like 5 seconds tweet nothing,Neutral
going somewhat town x visitng uncle boyet famm,Neutral
tonight party w girls minus vita,Positive
congrats dreps good luck sa interview,Positive
middetox wont eat,Neutral
everything ok except install crashed end safari crashes every cmdq,Neutral
ooh know hold hand,Neutral
omg exctied,Positive
movie awesome,Positive
strike one three im,Negative
grateful daughter happy mothers day okasan thank everything always,Positive
thats good keep guys would love come visit sonetime,Positive
morning monday really,Neutral
got virgin yet sure tbh thanks anyway,Positive
psst new blog comments likey,Positive
tweet later byee,Neutral
id love able bikebuswalk work isnt safe area,Neutral
macs ftw btw youre still using grandaddy pcs lost life jp really,Neutral
aww ya showing us mums proud kids let everyone know,Positive
thank love,Positive
ok peepsim crazyi twittering 2 someone idea 2 direct msg cell blonde moment,Neutral
woke upfeelin lil better 3,Positive
fee pain lady ga ga drive insane oh dear god songs head,Negative
hour left revision,Neutral
charlene love miss,Negative
get whatthe baby sent twitter messages behalf,Neutral
woohoo congrats friend boyfriend,Positive
oh please dont,Negative
good luck finally long time panvel tweetup finally coming true,Positive
airport waiting,Neutral
know lvoe,Positive
id love nicky poo bri howie aj wish happy birthday please please please please pleaseee guys,Positive
_reece naw missed video cool looking sexy,Positive
lol read like book,Neutral
happy star wars day,Positive
rocket surgery hey haha thought rocket science oh knew swear thank,Positive
back school almost weekend oh wait got ta work eight four tonight,Neutral
slowly getting ready work,Neutral
focused tom much didnt see beloved barack oh must vote poor president 626 votes,Neutral
sorry,Negative
430am sleep timeee wanted watch gossip girl im way tired goodnight,Negative
columbus blue jackes may movieing anew city play thats sad news,Negative
going post office try sort whole ebay hacker thing,Negative
nice capture,Positive
really want starhope flawless work,Positive
getting one field vehicles cleaned looks like action hero governor wants give another furlough day nice,Positive
flu pass unto andywent shopping got fresh chicken chicken soupbut dd sat sad panda,Negative
little felted thing looks like incestuous product two lovelies,Positive
work mad blocking sites fun arent blocking facebook twitter youtube,Neutral
thanks follow,Positive
still awakedoing assignments playing virtual farming,Neutral
fyi also turkish star wars rip,Negative
hanging goddaughters,Neutral
oh dear terrible however moleskine notebooks rule lot,Negative
says good morning everyone happy mothers day mothers hope h,Positive
update island flowers large pouch,Neutral
everything annoying today,Negative
happy mothers day beautiful mommies,Positive
hope im something right influx reviews 1 year old fan fic telling love style writing hp,Positive
dancing around cleaning house loving sunday far,Positive
fireworks kboom concert second best ive ever seenpreceded last years show 2008 sigh,Positive
lol wen mum used take kid wud always eat bread instead haha,Neutral
assignment due midnight professional writing class really wish already done luv writing thought id like,Positive
whyyyy,Neutral
_aureole oh gosh cute,Positive
happy mothers day moms finished lunch relatives wuv mommy granny hahaha,Positive
somebody accidentely sleep 3 hours instead 2 cant hang work blows sorry _jones20,Negative
watching knowing lovin,Positive
burned ohh xoxo,Negative
massive headache argh,Negative
hate hair hiss tee feel like shuld hang ghetto wid dis style,Negative
yes unfuzzy prefer fuzzy clear caleb wan na turn back clock,Neutral
britain,Negative
got home got freakkin clen,Neutral
finally back stupid holiday missing fit bar men though,Negative
made officially unavailable best friend,Negative
dont think like roy williams dissects frogs still alive look like chachi happy days,Negative
missed todayi know must feel tired give massage tonight,Negative
iphone app came months back called zemote bumped domain zemotecom 1 spot,Negative
thanks lot youre kind got back nice drive 500 fun car drive nice day,Positive
im village hardly found internate feeling gloomy,Negative
got ta sad,Negative
good day selling feria urbana ladies love lasercut felt,Positive
ugh back killing,Negative
trip dc next week canceled artomatic beer,Neutral
well uhm guess u pretty dont u lol still sounded good,Positive
girsl night way foam party sleep tonight,Neutral
second song coming along nicley,Positive
found controls left hand people like twitterrific excellent,Positive
haha wow theres song called hit twitter lmao okay gnight,Positive
get door go work im goin im goin,Neutral
sweet situations,Positive
ab circle anddd still box f work,Neutral
sunday runday outta bed onto road,Neutral
lacey alright though quite gashes keeps tail legs,Neutral
wan na go beachbut study,Neutral
im considering buying one hence monk look,Neutral
chillen gmas soooo humid outside,Negative
page 6 ms twitterworld 26 votes,Neutral
think bit love creations wit physically attracted although great style,Neutral
im moving canada,Neutral
outside playing ball dogs hot sweaty,Negative
moving makes sore dunno gon na make getting close,Negative
trailed streets sheffield couldnt find pub numbers landlines goes,Neutral
im sorry still sick u know know u guess pelzer present,Negative
think may found next apartment one downfall,Neutral
uploading soon,Neutral
blogging yet miss writing,Negative
yay friday hold work tomorrow,Positive
horrible day,Negative
found cant drink bar booo missing e1 palominos cheers sad face,Negative
listening hey zulu red n meth sux work right,Neutral
man french open week havent opportunity catch single match,Negative
met shortest line ever fcb tunapuna tellers disappeared,Neutral
everyone follow amazing,Positive
love sweet gnights every night,Positive
disapointedgood evans sound really bad tune britainsgottalent,Negative
chatting old classmates hellyeah fun weird conversation haha hello bbm lo error ya,Neutral
nownow go talk people melrosecashier registrar etc unfun places,Neutral
_kaufer cant argue wthem actually zero things complain make stuff,Positive
got back apple store robina managed get replacement iphone couldnt access web properly shiny,Neutral
little kids annoy hell outa active shouting attacking etc,Negative
im freaking afraid ive managed stick foot mouth scare yet another person,Negative
yesmet jon last yr interesting questionning agile agile 2008 session dont see yrs schedule,Positive
nothing like yoga clear mind make realize crappy things really,Neutral
oh noesss seniors last day however tickling till floor giggling made totally worth plus senior sandwhich,Positive
didnt include follow friday,Neutral
program shows twitter facebook status updates one alright yeah probably wont use often,Neutral
hahaha well would smack hahaha big banggg,Negative
ow shoulder muscle cant remember name p hurts dont even know,Negative
husband golfing toddler shall frolic consummate mama im happy day,Neutral
thing im chocolate fan thought yhere,Neutral
thanks daxx god bless brother,Positive
omg man ill pray ya,Negative
_twee haha thanks thats new word week,Positive
yeah im gon na take ur picture ipod baby,Neutral
111am girls still im tired,Negative
never answer back,Negative
yes thank contacted 2ce response,Neutral
_hansen darn realised pull one would far better response name suggestion,Positive
hugs,Neutral
cancelled run favour staying wish monies pubulation tho,Positive
bummed cant see ltj june hoping uk yoke soon,Negative
sick like 5 days,Negative
placed 2 bet sure thing lost betting,Negative
tired whyyyyy make stop merm going fun tonight,Negative
thanx bday wishes ray,Positive
trouble starship troopers theyre mean great big pink bug,Negative
past 8am already spoiled rotton,Negative
done finally yay relax well one day haha,Positive
mannnn _ got iphone im jealous,Negative
butbutthe nurburgring good,Positive
watching wall street realizing since movie channel wont get potty break,Neutral
keep coughing guts,Neutral
think meant pic dont know one might seen really hot gets,Neutral
singz think im jst abt done ur girrrlfriendim leavinim leavin jst love cm,Neutral
justins blanket shed black lint white skirt,Negative
oh yeah grill outits bbq tonight house,Neutral
coffee didnt turn good tiday excellent,Neutral
gon na ask boom boom morning,Neutral
welcome first german follower mother hermine sudetenland came sweden refugee 1948,Neutral
yea think waited long oh well thats cool signed im already done core classes,Positive
like jeans,Neutral
apple expected launch new iphone summer hi name judy addicted apple products,Positive
fell stairs dancing sword fell bum hurts,Negative
gone ears home plenty painting well,Neutral
yay hope day work wonderful sis bank holiday england today everyone work,Positive
feel great still miss,Negative
sad tanner wasnt invited panthers development camp year poor glassers calla good,Negative
much welcome,Positive
burfday im alone,Negative
fun day theatre glad back town,Positive
kinda headache,Negative
celticslakers rematch sounds better dont think lol,Positive
used ago argument pretty sound trolley pusher,Neutral
19 years phil spector,Neutral
great time london,Positive
glad u liked post looking back end nowthe sub 2 blog automatic send url ill verify,Positive
jennah u tell jay said good night plz im asking nicely,Neutral
loved johnny carson im going hate seeing jay leno go,Negative
agree danced dad kind generous wedding huge fan,Positive
ill stop world melt youthe cure,Neutral
im glad got cleared lah idk linda hates though,Neutral
omg realy cant sleep ughh,Negative
great shot yesterday editing pics,Positive
omg right hear us blocked annoying wake deaf,Negative
happy mother day janey even though idk mommy,Positive
im sorry hear makes sad,Negative
cafe sky dining plangi,Neutral
ill listening,Neutral
didnt really watch haha,Neutral
rest important like everything else dont,Positive
know wont,Neutral
soo happy frustrated time ohh noo britney recording new video radar sooo exxciiteed,Positive
getting impatient turnaround time repairs broken arrival new espresso machine fb,Negative
winebeerand champagnelets see goes tomorrowlol,Neutral
_emo_zac good morning france zaccie,Positive
mmm btw talking gone 295,Neutral
emo moment said good bye best friends ever well meet sure,Positive
missed cutoff free chocolate eh wellbikini season coming,Negative
sunglasses whores,Neutral
lol,Positive
boo hoping fake alien story tinfoil covered beachball photo,Negative
oh hope get better show argentina good luck,Positive
even spf 55 besides dont need putting chemicals face spf 30 full block,Neutral
time head back home business done,Neutral
using twitter account,Neutral
im sorry,Negative
haha thanks history invention television influence america lol,Positive
1st presentation senior boards fml,Negative
oh see mean true used improperly know,Neutral
okay able sleep tonight,Neutral
ow sunburn hurts,Negative
almost lost phone silly indy,Negative
happy mothers day amma made u cake remember u loved,Positive
proudly scaling peaks achievement mountaineer conquering challenges planting flag success,Positive
jonaswebcast missed,Negative
hang drink hot coco,Neutral
would totally take promif hadnt already gone sorry lol,Negative
miss band much,Negative
hell unlucky comes next week,Negative
last wr0te againgot bored previous dayss,Negative
hahah thanks tradewinds odyssey bump,Positive
may pc love anyway maybe someday become mac,Positive
deal w tweet lol,Negative
gon na go yogaing jumbo cup coffee thinking making happy,Positive
mmmm looks yummy good seeing u,Positive
aint ur ff list im hurt,Negative
totally want white chocolate macadamia cookies mrs fields mall soooo far away bleh think ill make,Negative
followed compliance great watch say,Positive
found giveaway wish would known sooner happens unclaimed cities,Positive
feeling better still coughing moving yet impossible,Neutral
sweet dreams,Positive
best vanilla memory sharffenberger factory gift shop sure get,Positive
mmm wasabi coated peanuts burns good,Positive
absolutely good backup romo december,Positive
first thought ive never even watched dragonball,Neutral
start least favourite chore mopping floor,Negative
shriyas,Neutral
oh well get back lots pictures,Neutral
im totally addicted farm town frankly fun fixing laptops studying diseases kill us,Neutral
thanks,Positive
hate today,Negative
happy mothers day sure say 3 mum,Positive
thats ok accept slave role wish command hahaha,Neutral
drank sly didnt thats youre asking know,Negative
getting kids ready school deciding workout du jour,Neutral
shame wisdom comes age age destroys youth,Negative
waiting denver game come dont think gon na win lakers suck lol p come denver,Neutral
got wheres sun,Neutral
good morning hope everyone well monday thanks followfriday recos blessed,Positive
dude come least rotate,Negative
boo season finales,Negative
got back grandparents suprise 60th anniversary partyit sooooo much fun,Positive
ever met guy thatv everything want need never really went w gnite daddy,Positive
sleeping sleeping 8am know 3 kids,Neutral
great mothers day,Positive
finally home tomorrow day 2 amazing,Positive
oh check stock port marketing unable buy ticon best price,Positive
monday starts friday least work 4 days week long days,Neutral
yesterday awesome sunny day best friends good food tons fun could ask,Positive
know im slow horrible dont tell,Negative
omg id aint come back yet im sooo worried best bk next week il screamm lmao yeah u choose ur bday x,Neutral
gosh im freakin bored talk,Negative
kazim kazim didnt know name,Neutral
ikr,Neutral
found link wwecom stinks,Negative
yeah sucks tried ask q 2 never answered loved joe hugged nick,Neutral
god im suffering greatly hair sitting blazing sunshine v v bad sunburn,Negative
im working painting due school hating sleeping day starting late,Negative
sitting waiting hoping lady would hurry hell hate moving super sucks,Neutral
_bee coincidently friend cancelled movie date,Negative
im sorry andrew wish something could,Negative
since obviously living alaska radio stations get,Neutral
keep pulling knitting desk putting back good good tminus 15 minutes till release,Negative
cart path,Neutral
ok seems need remember account im posting last tweet _fc tweet,Neutral
oh happy late birthday txt didnt send,Neutral
came back first city rooftop party man even youre next new yorker bldg still gets pretty windy,Positive
think ups web site hates still brewing supply package held hostage work slow ups delivery,Negative
phone die soon oh,Negative
know would successful youre starting would great coming years good luck,Positive
looking forward bens baseball game tonight,Neutral
thx became ibm master inventor 2008 really enjoyed blog particularly vegan tag,Positive
last night cork come tomorrow wont even remember double sad face haha words lily allen fair,Negative
catching last bit later jools last series sob cry,Negative
bad,Negative
going downstairs coffee socialising wow 416 gives time french later,Positive
waking ungodly hours go work starting get old least coffee good,Positive
happy star wars dayyyy hbd uncle lee,Positive
_pax goddamn sucks hugs,Negative
oh maya im sorry hope find soon,Neutral
happy star wars day may 4th lil 12yr old bro home playing lego atat dozens stormtroopers,Positive
yay ill shall take picture get tattoo arm,Neutral
listening music texting umm msn lol bit bored lol garth brooks wooo love hehe 3,Positive
audiotistic sneak little butt,Neutral
phone w chantellie 3,Neutral
snugglin tila,Neutral
_trees true thats kind style less old chap,Neutral
close entering pogue book today world according twitter yet seem far,Neutral
sound input computer stop working mic jack usb webcam mic doesnt work either checked input controls,Negative
envy eats away see others prosperity,Negative
chillaxing hyde park,Positive
got email auntie bout fathers day mothers day wseven moms fathers day consist 2 dads realitycheck,Neutral
actually meant type end september middle conversation someone cant multitask,Neutral
oh great tampa people anybody area know someone works jain society tampa bay none phone work,Negative
4 free notebooks know machine learning well,Neutral
yeah totally unfair flame everywhere,Negative
dee mack talking baby shes almost grown,Positive
good job logies year hell funny youre right baggin logies tradition aussie,Positive
think getting cold,Neutral
cheeseburger,Neutral
ajax php thinking concept autorefresh _chander made mistake,Negative
used love lolso awesomei knew youd experience last night,Positive
captivated historical charm colosseum stone echoing tales gladiator valor,Positive
pimms,Neutral
money sign ugh,Neutral
much 1 pm dont think im going get done,Negative
one million,Neutral
awesome im glad like fyi platinum notes 30 free upgrade summer,Positive
tomorrow final competition,Neutral
started learning ballroom dancing gliding gracefully across dance floor ageless elegance every step ballroomdancing seniordancer,Positive
hellooo gosh miss seeing around thought last night amarula,Negative
realized chris lake spinning stockholm yesterday missed,Negative
sad mom must shaken peace strength dear family lost little girl,Negative
hello ur biggest fan rly carnt w8 till new moon comes good luck 2 u nd cast filming,Positive
wow 41000 nowyour really kickin careys butt competition see soon,Positive
happy mothers day moms love mom,Positive
think going lonnngg weekend 3 day kind,Neutral
going home ive seriously enough,Negative
cool im gladi save tea,Positive
rain almost perfect day clothes wet,Negative
haha ok really dont like getting businesses ok,Negative
yesma party show next week,Neutral
starting look like website may happen form,Negative
ran rain,Neutral
effort though,Positive
plus janessa hurt feelings,Negative
cont small children puppies cleche sarcasm annoying bcreative thats harrd,Negative
hope morning show doesnt get cancelled,Positive
research library building next one help explain reading,Neutral
_bba ooh nice well guess nice moment windy rainy like rain,Positive
great seein guys today look happy love lets hang soon love yall,Positive
yay jack downer ive remembered friday meaning work tomorrow,Positive
hear,Neutral
bitterness bitter aftertaste lingering tongue word reminder wounds refuse heal passing time,Neutral
dont feel good,Negative
hahaha miss bradddd guys keith,Negative
dont think sale ciroc staythats luck,Negative
heavenly donuts 1130 nightsounds like heavenly match siyal8r,Neutral
cant sleep ughh n registration tomorrow 11 suxs shooting star,Negative
band practice,Neutral
needs unfollow tweeps dislike cant keep tweeting literally every 2 minutes sorry,Negative
bs tell ah well better attempt,Neutral
actual wiki entry million dollar homepage made shake head due fact sometimessomtimes things work,Negative
_truong sunbae bad jst scratch wht said im talking nonsense lol enjoy perfs,Neutral
bitter experience customer service department,Negative
ohyeahhh hate heat,Negative
haha cute ps thanks reply made day haha,Positive
hey web url looks good,Positive
worried arabelle tweet please text,Negative
pokes runs away want sugar,Negative
know worth shot though,Positive
false alarm house,Neutral
back best party ever,Positive
dragbut part come handy hee hee,Neutral
morning u back blighty bill hope u lovely time away,Positive
started fear weekends since joining german classes,Negative
lonely day,Neutral
happy mamas day ladies good day,Positive
hate bit,Negative
haz beer oh wait im work,Neutral
saying goodbye good trusted friend today goodbye free sky tv best friend anyone could,Positive
im sad im giving firsti didnt nothing,Negative
officially moss doesnt work vista unofficially fine,Neutral
thought gon na show,Neutral
today fun 3 meeting boardies acoustic set soo phenomenal,Positive
ran 5 miles went gym woke ur great kidsdependable danny hope great already,Positive
im sick sad missing martini lounge tonight,Negative
got answered,Neutral
blogging mentioning links contests might win free book two,Neutral
several hours finally site back online silly dns setting mistake,Negative
omg working,Positive
mean portfolio sad luck ive applied 30 places far,Negative
promise thanks,Positive
think left conference feedback sheet bag oops say excellent everything found,Positive
im waiting get back nambu stopped working 1057,Neutral
miss,Negative
sorry praying,Negative
arriving itexa lots mails read work thanks god weekend,Positive
time u like reservesi lost one,Negative
ran worm skating poor wormie glad back,Positive
u good replys u fallin sad face,Negative
youve got deal,Neutral
filled forms stop contributing retirement account set employer pay credit card,Neutral
blow away raining harder yay well done,Neutral
popping see samson delilah arvo hear good,Positive
well bell hooks teaching transgress sometimes miss teaching messing bad system,Negative
tongue cheek mentalitiesthere another one takes piss arabs long,Negative
steals stuff buries fence embarassing man returning much frogs,Negative
sleeping streets nyc celebritynothing new wish huge blanket though,Neutral
although wolverine wasnt great movie dont think bad everyone saying least taylor kitsch,Neutral
sheesh crochet bah humbug sleep um suppose someday,Negative
yeah already called ask,Neutral
psalm 826 said gods children high happy mothers day momma,Positive
happy mothers day love mommy,Positive
yeah works better command,Positive
night night twitter world still cant believe thomas thing tomorrows gunna funsad,Neutral
garden broken dreams petals fall silent testimony shattered hopes,Negative
reading book sunshine goona good day,Positive
going attempt cook chunky beef mushroom pie tonight mmm im hungry already,Neutral
dont know lold,Neutral
excellent pic wish long drive tn,Positive
got prerecorded phone call jj asking vote admk led front phone number 914044621160 hyderabad connections,Neutral
way home,Neutral
oh im sorry old grandpa,Negative
yep sleepfail another 78 hours itll ddfail,Negative
_lou hahah hopefully enjoy day,Positive
ahh sore throat tired want go back bed work,Negative
sittin bed 2 fall asleep,Neutral
mr tonematrix birthday today poor guy ill home perhaps hi twittersphere would good,Neutral
waited long buy pink tickets going nose bleed sad taking binoculars,Negative
heard title author must look enjoy,Positive
star trek sooooo awesomespock kirk hillarious im seeing sooon,Positive
technology changing way live,Neutral
laavly come ive got stunning wee tan l,Positive
going bed peter,Neutral
day whats ff im worst,Negative
