original_text,orig_sentiment,orig_score,preprocessed_text,prep_sentiment,prep_score,corrected_label,corrected_on
Asking Eric: We’ve tried for 8 years to keep in contact with our granddaughter. Nothing works https://www.oregonlive.com/entertainment/2025/06/asking-eric-weve-tried-for-8-years-to-keep-in-contact-with-our-granddaughter-nothing-works.html#OregonLive #oregon,Negative,0.81,asking eric weve tried 8 years keep contact granddaughter nothing works oregon,Neutral,1,,
"Trump stokes fear, confusion with pulled emergency abortion guidanceTrump stokes fear, confusion w...",Negative,1,trump stokes fear confusion pulled emergency abortion guidancetrump stokes fear confusion w,Negative,1,,
"Jon Jones Rivals: Twitter Feud with Cormier and AspinallIn a recent tweet storm, UFC heavyweight champion Jon Jones took jabs at rivals Daniel Cormier and Chael Sonnen, who have critiqued his dominance after his victory over Stipe Miocic at UFC 309. As discussions heat up regarding a potential heavyweight unification bout with interim champion Tom Aspinall, Jones dismissed Cormier and Sonnen’s podcast antics, asserting his financial success compared to theirs.https://mma.phonesinfo.online/jon-jones-rivals-twitter-feud-with-cormier-and-aspinall/",Neutral,1,jon jones rivals twitter feud cormier aspinallin recent tweet storm ufc heavyweight champion jon jones took jabs rivals daniel cormier chael sonnen critiqued dominance victory stipe miocic ufc 309 discussions heat regarding potential heavyweight unification bout interim champion tom aspinall jones dismissed cormier sonnens podcast antics asserting financial success compared,Neutral,1,,
"Fresh, Locally Grown Herbs and Spices Delivered to Your Door 🌿🍴The secret to turning a simple dish into something unforgettable?Fresh herbs and spices! 🌱✨ With Farm Fresh Delivery, you can elevate your meals with locally grown, freshly harvested herbs that bring real flavor and aromatic magic to your kitchen—all delivered straight to your door. Let’s dive into how Farm Fresh Delivery’s herbs and spices can transform your cooking…https://www.farmfreshdelivery.us/news/events/fresh-locally-grown-herbs-and-spices-delivered-to-your-door-%f0%9f%8c%bf%f0%9f%8d%b4/",Positive,1,fresh locally grown herbs spices delivered door secret turning simple dish something unforgettablefresh herbs spices farm fresh delivery elevate meals locally grown freshly harvested herbs bring real flavor aromatic magic kitchenall delivered straight door lets dive farm fresh deliverys herbs spices transform cooking,Positive,1,,
"🎵 Time to build our playlist! 
• Vote on the posts in the feed below ⬇️
• Drop a ❤️ to add your fav tracks
• Super love a song? Hit 🔁 for VIP statusListige Playlist Feed",Positive,1,time build playlist vote posts feed drop add fav tracks super love song hit vip statuslistige playlist feed,Positive,1,,
noted abuse survivor Simone biles standing up for trans athletes is proof she doesnt understand abuse and not that anti trans hysteria is psychotic and unconscionable.,Negative,1,noted abuse survivor simone biles standing trans athletes proof doesnt understand abuse anti trans hysteria psychotic unconscionable,Negative,1,,
"Italy: on 8-9 June, voters will cast a ballot in four referenda regarding the field of labour and one regarding citizenship law.Here is an overview of polled and/or parliamentary parties&#39; positions.➤ https://europeelects.eu/italy#Referendum2025 #ReferendumCGIL #ReferendumCittadinanza",Neutral,1,italy 89 june voters cast ballot four referenda regarding field labour one regarding citizenship lawhere overview polled andor parliamentary parties39 positions referendumcgil referendumcittadinanza,Neutral,1,,
"""The President, Vice President and all civil Officers of the United States, shall be removed from Office on Impeachment for, and Conviction of, Treason, Bribery, or other high Crimes and Misdemeanors."" —U.S. Const. art. II, § 4",Negative,0.95,president vice president civil officers united states shall removed office impeachment conviction treason bribery high crimes misdemeanors us const art ii 4,Negative,1,,
Kash is going crazy! 🤯Rapids 57/2 (6 overs),Negative,1,kash going crazy rapids 572 6 overs,Neutral,1,,
"50 partnership, foundations built in the powerplay 👏Rapids 57/2 (6 overs)",Positive,0.97,50 partnership foundations built powerplay rapids 572 6 overs,Neutral,1,,
"This Acapella band is absolutely amazing, ladies and gentlemen,  the great movie Medley  by Voctave!  #Musichttps://www.youtube.com/watch?v=1nziWgvOPj4",Positive,1,acapella band absolutely amazing ladies gentlemen great movie medley voctave music,Positive,1,,
#AKQ #VAwx 494 ACUS11 KWNS 071831SWOMCDSPC MCD 071831 NCZ000-VAZ000-072100-Mesoscale Discussion 1178NWS Storm Prediction Center Norman OK0131 PM CDT Sat Jun 07 2025Areas affected...Parts of southeast VA and eastern NCConcerning...Severe potential...Watch possible Valid 071831Z - 072100ZProbability of Watch Issuance...40 percentSUMMARY...The risk of strong/severe storms capable of producinglocally damaging wind gusts should increase in the 19-22Z time https://www.spc.noaa.gov/products/md/2025/md1178.html,Negative,0.99,akq vawx 494 acus11 kwns 071831swomcdspc mcd 071831 ncz000vaz000072100mesoscale discussion 1178nws storm prediction center norman ok0131 pm cdt sat jun 07 2025areas affectedparts southeast va eastern ncconcerningsevere potentialwatch possible valid 071831z 072100zprobability watch issuance40 percentsummarythe risk strongsevere storms capable producinglocally damaging wind gusts increase 1922z time,Positive,0.95,NEGATIVE,preprocessed
Weekend Reading — 🎻 World's smallest violinhttps://labnotes.org/weekend-reading-worlds-smallest-violin/,Neutral,1,weekend reading worlds smallest violin,Neutral,1,,
"I do want some broader geographical coverage so I can place content close to the physical places they are associated with. But for abstract stuff, that can go anywhere ... preferably closer to the center.",Neutral,1,want broader geographical coverage place content close physical places associated abstract stuff go anywhere preferably closer center,Neutral,1,,
"Today's reason to drink? It's Bartender Day, Beatles Day, Belmont Stakes, Betamax Day, The Big Lunch (UK), Boone Day, Festival of All Possible Worlds, Fete Day (Elfreth’s Alley; Philadelphia), Fleur-de-Lis Day, International Supply Chain Specialists Day, International Parkour Day, International Table Top Day, International Tourettes Awareness Day, Journalist Day (Argentina), Land O’Lakes Day, Lime Tree Day, National Black Bear Da, National Bubbly Day, National Chocolate Ice Cream Day, National Corn Hole Day, National Goonies Day, National Learn to Row Day, National Pineapple Day, National Play Outside Day, National RV Day, VCR Day, National Trails Day, Pencil Day, Turtle Races Da, World Caring Day, World Poha Day &amp; World Food Safety Day https://tinyurl.com/4m5rxxdd",Neutral,0.69,todays reason drink bartender day beatles day belmont stakes betamax day big lunch uk boone day festival possible worlds fete day elfreths alley philadelphia fleurdelis day international supply chain specialists day international parkour day international table top day international tourettes awareness day journalist day argentina land olakes day lime tree day national black bear da national bubbly day national chocolate ice cream day national corn hole day national goonies day national learn row day national pineapple day national play outside day national rv day vcr day national trails day pencil day turtle races da world caring day world poha day amp world food safety day,Positive,1,POSITIVE,original
the last few days i can’t stop thinking about that video that tells you how to say justin bieber in chinese,Neutral,1,last days cant stop thinking video tells say justin bieber chinese,Neutral,1,,
Large-scale fire near Moscow: warehouse with fuel and lubricants on fire https://ukrainetoday.org/large-scale-fire-near-moscow-warehouse-with-fuel-and-lubricants-on-fire/?utm_source=dlvr.it&amp;utm_medium=mastodon,Neutral,1,largescale fire near moscow warehouse fuel lubricants fire,Neutral,1,NEGATIVE,original
"I’m in shock, A Guardian film review I agree with. https://www.theguardian.com/tv-and-radio/2025/jun/02/mountainhead-tech-bro-satire-disappointment",Negative,1,im shock guardian film review agree,Negative,1,,
"well, after checking the internet, it seems both chapter 3 and for are ram packed full of secrets, much which are probably still yet to be discovered. I think I will wait until someone has made a comprehensive list of everything and go through it later.",Neutral,1,well checking internet seems chapter 3 ram packed full secrets much probably still yet discovered think wait someone made comprehensive list everything go later,Neutral,1,,
"Life is better when you cry a little, laugh a little, and are thankful for everything that you have.",Positive,1,life better cry little laugh little thankful everything,Positive,1,,
"#ScribesAndMakers 7. Do you plant a garden each year?This year I planted wildflowers, potatoes, cat grass, and beans (in separate containers.) The beans didn't take, so I'll try replanting them.",Neutral,1,scribesandmakers 7 plant garden yearthis year planted wildflowers potatoes cat grass beans separate containers beans didnt take ill try replanting,Neutral,1,,
"I'm really glad to have pushed some visibility to other chub furry artists but I do need to get posting regularly scheduled content at this point. I encourage you all to keep using and spreading names. God knows I've found some incredible new artists myself through it. :)

Thanks for participating!",Positive,1,im really glad pushed visibility chub furry artists need get posting regularly scheduled content point encourage keep using spreading names god knows ive found incredible new artists thanks participating,Positive,1,,
The great wall of china ❤️Threads,Neutral,1,great wall china threads,Positive,1,,
the actual bowling area is much more subdued and we are far away from the fkashing lights of the arcade but wow i gotta stop forgetting i have #epilepsy !!!,Neutral,1,actual bowling area much subdued far away fkashing lights arcade wow got ta stop forgetting epilepsy,Negative,1,NEUTRAL,preprocessed
"the gameplay is interesting but needs a little polish, I think. I'd certainly play an Eternal Strands 2, but I think that's enough Eternal Strands 1 for me.",Positive,0.98,gameplay interesting needs little polish think id certainly play eternal strands 2 think thats enough eternal strands 1,Positive,1,NEUTRAL,original
"Have you heard of digital marketing and if you haven’t, are you interested? If you have, what’s your opinion? #digitalmarketing #digitalnomad #online #onlineteacher #teaching #business #mentorship",Neutral,1,heard digital marketing havent interested whats opinion digitalmarketing digitalnomad online onlineteacher teaching business mentorship,Negative,1,NEUTRAL,preprocessed
Yes. The entire point of tennis is which player is able to impose what they do best on their opponent. Coco does not hit a tennis ball as well as Sabalenka. Making your opponent play worse than they normally do is a skill. https://x.com/mzemek/status/…,Neutral,1,yes entire point tennis player able impose best opponent coco hit tennis ball well sabalenka making opponent play worse normally skill,Negative,1,NEUTRAL,preprocessed
You have to respect Rankin and Bass. All they ever wanted to do was write musicals. And they wanted to write musicals so badly they hired animation companies to stage them.,Negative,1,respect rankin bass ever wanted write musicals wanted write musicals badly hired animation companies stage,Negative,1,,
"The fact that ""Alien"" was released in 1979, and was ""an old film"" by the time ""Jurassic Park"" came out in 1993 is kind of mindboggling to me.",Neutral,1,fact alien released 1979 old film time jurassic park came 1993 kind mindboggling,Positive,1,NEUTRAL,preprocessed
"When I was a kid in middle school and high school, I hated being asked if I knew a certain song or had a favorite band. I didn’t because I didn’t listen to the radio (back in the pre-internet days) and I felt shame in not fitting in.Listening to a jazz band’s version of Fly Me To The Moon reminds me how much I like Swing and the Big Band sound",Negative,0.98,kid middle school high school hated asked knew certain song favorite band didnt didnt listen radio back preinternet days felt shame fitting inlistening jazz bands version fly moon reminds much like swing big band sound,Neutral,0.61,NEGATIVE,preprocessed
"&#39;Being a huge fan of Sarah Stuart, especially her DCI Croft series of crime thrillers, I grabbed the latest, Broken Promises, the minute it was released. Her stories get better and better... Definitely edge-of-the-seat stuff and definitely recommended.&#39; https://mybook.to/brokenpromises or read my interview https://rebeccabrynblog.wordpress.com/2025/06/07/an-interview-with-sarah-stuart-author-of-romantic-suspense-and-crime-thrillers",Positive,0.94,39being huge fan sarah stuart especially dci croft series crime thrillers grabbed latest broken promises minute released stories get better better definitely edgeoftheseat stuff definitely recommended39 read interview,Positive,1,,
Los Angeles is setting the tone more of us need to follow. We have to collectively push back and refuse to let the MAGA regime further destroy the United States. They’re starting to crumble from within - let’s exploit those weaknesses to take back what’s ours - OUR country.,Negative,1,los angeles setting tone us need follow collectively push back refuse let maga regime destroy united states theyre starting crumble within lets exploit weaknesses take back whats country,Negative,1,,
Bender: Hey! What kind of party is this? There's no booze and only one hooker.,Neutral,1,bender hey kind party theres booze one hooker,Neutral,0.96,,
"in my opinion, an antelope setting up menorah candles while eating a peanut butter sandwich sounds really awesome!",Positive,1,opinion antelope setting menorah candles eating peanut butter sandwich sounds really awesome,Positive,1,,
This ship has no basis and satisfies no one but me.  enjoy.,Negative,1,ship basis satisfies one enjoy,Positive,1,NEGATIVE,preprocessed
"""I really didn't think I'd play basketball until my senior year"" - Larry Bird confesses he had no intention of going pro until his last year of high schoolhttps://www.basketballnetwork.net/old-school/larry-bird-confesses-he-had-no-intention-of-going-pro-until-his-high-school?utm_source=flipboard&amp;utm_medium=activitypub Posted into Basketball Network @basketball-network-BasketballNet",Neutral,1,really didnt think id play basketball senior year larry bird confesses intention going pro last year high school posted basketball network basketballnetworkbasketballnet,Neutral,1,,
"Movie studios attempting to make billions on a films opening weekend, if it doesn&#39;t they pull it and throw it on streaming. Then wonder why no one goes to the movies.https://mygenxerpod.wordpress.com/2025/06/07/the-lazy-geeks-the-theater-problem/",Negative,0.79,movie studios attempting make billions films opening weekend doesn39t pull throw streaming wonder one goes movies,Negative,1,,
"The games being world-premiered at this showcase all have exceptional sauce. ColorBound being the winner of their game jam, Gunny Ascend being a cross between Tetris/Puyo Puyo and Bomberman, and Desktop Explorer being a scary version of Hypnospace Outlaw... hell yeah",Positive,1,games worldpremiered showcase exceptional sauce colorbound winner game jam gunny ascend cross tetrispuyo puyo bomberman desktop explorer scary version hypnospace outlaw hell yeah,Positive,0.73,,
Isn’t that the shortwave time station in Boulder? https://mastodon.social/@dirtypair/114592561887178563,Neutral,1,isnt shortwave time station boulder,Neutral,1,,
Tennessee football has one of the best odds to win National Championship in 2025https://allfortennessee.com/tennessee-football-has-one-of-the-best-odds-to-win-national-championship-in-2025-01jx5n0szxy5?utm_source=flipboard&amp;utm_medium=activitypub Posted into All for Tennessee @all-for-tennessee-fansided,Positive,1,tennessee football one best odds win national championship 2025 posted tennessee allfortennesseefansided,Positive,1,,
"France:Emmanuel Macron has urged the French government to remain committed to its environmental policies following the suspension of the Maprimerenov scheme. He emphasized the importance of continuing ecological efforts despite the setback. The initiative, designed to support energy-efficient home renovations, faced challenges related to its implementation and budget. Macron’s statement signals a desire to reassure both environmental a ...Fact Check by gemma3:12b https://tinyurl.com/22p2jhlp",Neutral,1,franceemmanuel macron urged french government remain committed environmental policies following suspension maprimerenov scheme emphasized importance continuing ecological efforts despite setback initiative designed support energyefficient home renovations faced challenges related implementation budget macrons statement signals desire reassure environmental fact check gemma312b,Positive,0.79,NEUTRAL,preprocessed
"My new game is a dice pool system, you start with 3d6, &amp; can add up to 1 more for every 2 points in the relevant stat, to a max of 11. Your skill are: Smarts, Brawn, Charisma, &amp; Wits.&amp; your quest is to retrieve a royal relic from an influential daemon. #RPG #gameHack",Neutral,0.65,new game dice pool system start 3d6 amp add 1 every 2 points relevant stat max 11 skill smarts brawn charisma amp witsamp quest retrieve royal relic influential daemon rpg gamehack,Positive,0.97,NEUTRAL,preprocessed
Look around. What's something beautiful near you right now?,Neutral,0.82,look around whats something beautiful near right,Positive,1,NEUTRAL,preprocessed
"Reporters that hate their job as being mere PR flacks for a rapist used car sales-king should congratulate him for FINALLY beginning Infrastructure Week by allotting $15-million to begin by fixing roads in D.C., and how much does he have planned, now that DOGE has saved $698-trillion-billion, to address the rest of the nation, and name 10 MAGA cities that are crumbling to dust that he'll have to shit on on-air. I expect nothing from him or Press, but take the goddamn cuts when you can. Asses.",Negative,0.96,reporters hate job mere pr flacks rapist used car salesking congratulate finally beginning infrastructure week allotting 15million begin fixing roads dc much planned doge saved 698trillionbillion address rest nation name 10 maga cities crumbling dust hell shit onair expect nothing press take goddamn cuts asses,Negative,1,,
"8. You’ll have to invest in yourself.You’re the ASSET now:- Say yes to help- Upgrade your skills- Prioritize your physical and mental healthIn your 40’s, self-investment is survival.",Positive,1,8 youll invest yourselfyoure asset say yes help upgrade skills prioritize physical mental healthin 40s selfinvestment survival,Neutral,0.98,NEUTRAL,original
Little Debbie Just Revealed the Best Way To Enjoy an Oatmeal Creme Pie—and It’s Not Right Out of the Packagehttps://www.allrecipes.com/best-way-to-eat-little-debbie-oatmeal-creme-pie-11741544?utm_source=flipboard&amp;utm_medium=activitypub Posted into Smart Grocery Shopping @smart-grocery-shopping-Allrecipes,Positive,1,little debbie revealed best way enjoy oatmeal creme pieand right package posted smart grocery shopping smartgroceryshoppingallrecipes,Positive,1,,
"In addition to being ambiguously lively , Chinese interest in Western music is foolishly thought to be abnormally bizarre.",Negative,1,addition ambiguously lively chinese interest western music foolishly thought abnormally bizarre,Negative,1,,
We regret to inform you that the 1631 train to Stirling is delayed by 41 minutes. This is due to a staff shortage in the toilet.,Negative,1,regret inform 1631 train stirling delayed 41 minutes due staff shortage toilet,Negative,1,,
"In the daylight, order ruled, fences stood, how-do-you-do&#39;s and polite nods were the recipe. But at night, darkness rendered everything still and hush and secret. Minnie was a curator of secrets.",Neutral,1,daylight order ruled fences stood howdoyoudo39s polite nods recipe night darkness rendered everything still hush secret minnie curator secrets,Neutral,1,,
"I need to set up a couple of simple websites in the UK, can anyone recommend a cheap hosting service, it’s to serve static (for now) web pages.",Neutral,1,need set couple simple websites uk anyone recommend cheap hosting service serve static web pages,Negative,1,NEUTRAL,preprocessed
I think I showed great restraint not coming back with a Sharpie and editing this recipe. #guacamole #avocados #recipe #cooking #food #swarthmore,Neutral,1,think showed great restraint coming back sharpie editing recipe guacamole avocados recipe cooking food swarthmore,Positive,1,NEUTRAL,preprocessed
"A new, daily work in progress | findings on a garden walk of 53 paces | discards | considering transience | reminders of memory and lossusing a @what3words location as the basis of a #haiku///clouding.then.workmind clouding overthen common sense takes overtries to work it out#walking #walkingartist #what3wordsphoto #landscape #gloucestershire",Neutral,1,new daily work progress findings garden walk 53 paces discards considering transience reminders memory lossusing what3words location basis haikucloudingthenworkmind clouding overthen common sense takes overtries work outwalking walkingartist what3wordsphoto landscape gloucestershire,Neutral,1,,
"When you have OCD, your mind becomes your greatest enemy#OCDthreads",Negative,1,ocd mind becomes greatest enemyocdthreads,Negative,0.94,,
"DID IT HURT?????? When you were telling a story and realized no one was listening so you stopped talking, and no one even noticed?????? 😐- If you aren't currently following us, you'll probably never see us again.♟️",Neutral,1,hurt telling story realized one listening stopped talking one even noticed arent currently following us youll probably never see us,Negative,1,NEGATIVE,original
"Pokemon - Season 1 Episode 45 - The Song of JigglypuffFrame 2331/2467Caption: -Yeah, I&#39;m sorry.-That&#39;s okay.Timestamp: 00:19:42.857",Negative,0.98,pokemon season 1 episode 45 song jigglypuffframe 23312467caption yeah i39m sorrythat39s okaytimestamp 001942857,Negative,0.94,NEUTRAL,original
"On Thursday I was privileged to present on the pre-conference day of Markup UK 2025. I presented a quick review of my JATS-Con 2023 paper regarding techniques I use in sustainable single-source publishing, contrasted to unsustainable single-source publishing:https://youtu.be/-r75q6Hpklw  (15 mins)This is how we at Réalta Online (https://RealtaOnline.com) produce PDF, HTML, and DOCX outputs from JATS/NISO-STS inputs as an arm's length online publishing service.",Neutral,1,thursday privileged present preconference day markup uk 2025 presented quick review jatscon 2023 paper regarding techniques use sustainable singlesource publishing contrasted unsustainable singlesource publishing 15 minsthis réalta online produce pdf html docx outputs jatsnisosts inputs arms length online publishing service,Neutral,1,,
WTF? She was onsides when she touched it. How was that offsides?The officiating today is a fucking joke#NWSL,Negative,1,wtf onsides touched offsidesthe officiating today fucking jokenwsl,Negative,1,,
Quark:  Which one of you has a target lock on me! I can feel it you know,Neutral,1,quark one target lock feel know,Neutral,1,,
🚨 Trump is THROWN UNDER BUS by HIS OWN FBI Director https://twp.ai/E67f0l,Neutral,1,trump thrown bus fbi director,Neutral,1,,
Highest paid line workers at Walmart might surprise you: Why they are super busy right now https://www.oregonlive.com/business/2025/06/highest-paid-line-workers-at-walmart-might-surprise-you-why-they-are-super-busy-right-now.html#OregonLive #oregon,Neutral,0.94,highest paid line workers walmart might surprise super busy right oregon,Neutral,1,,
Manny: It’s just a bunch of cats!,Neutral,1,manny bunch cats,Neutral,1,,
"Current spurs status: still really fucked off, but I’ll live.",Negative,1,current spurs status still really fucked ill live,Negative,1,,
"It's time for a better music app for #NextCloud that supports more types of media to play with at onceMusic, Podcasts, Audiobooks, Videos and Online Radio will be available :)",Positive,1,time better music app nextcloud supports types media play oncemusic podcasts audiobooks videos online radio available,Positive,1,,
A $2.8 billion settlement that lets schools directly pay athletes will change college sports forever. Here’s howhttps://fortune.com/2025/06/07/ncaa-settlement-college-athlese-directl-payments-nil-deals/?utm_source=flipboard&amp;utm_medium=activitypub Posted into News @news-fortune,Neutral,1,28 billion settlement lets schools directly pay athletes change college sports forever heres posted news newsfortune,Neutral,0.91,,
"Help me workshop the branding. 

Monster truck tax?",Neutral,1,help workshop branding monster truck tax,Negative,1,NEUTRAL,preprocessed
shooting a roll of cinestill 400d in a glen today and very excited about it 🤗,Positive,1,shooting roll cinestill 400d glen today excited,Positive,1,,
"Tonight on “Murder, She Wrote?”  Diane has been murdered. Guest staring Rhea Perlman",Neutral,0.8,tonight murder wrote diane murdered guest staring rhea perlman,Negative,1,NEGATIVE,original
"Imagine Becoming a FishAccording to a  witness, &quot;The lutarius or mud-mullet is held in the lowest esteem of all.&quot;",Negative,1,imagine becoming fishaccording witness quotthe lutarius mudmullet held lowest esteem allquot,Negative,1,,
"I love love love love love you Wild Arms, but those laughing faces on Rudy and Jack are horrifying",Neutral,1,love love love love love wild arms laughing faces rudy jack horrifying,Positive,1,POSITIVE,original
To incite the citizen to the active practice of simple sabotage and to keep him practicing that sabotage over sustained periods is a special problem.,Negative,0.94,incite citizen active practice simple sabotage keep practicing sabotage sustained periods special problem,Neutral,0.7,NEGATIVE,preprocessed
"Outside, you can illegally juice electricity from the public library and warm yourself around the community trash barrel fire.",Negative,1,outside illegally juice electricity public library warm around community trash barrel fire,Negative,1,,
"https://www.businessinsider.com/dropbox-ceo-drew-houston-return-office-dumb-unproductive-malls-movie-theaters-2025-6 Dropbox CEO Drew Houston says mandating a return to office is &#39;like trying to force people back into malls and movie theaters&#39;&quot;...—we can be a lot less dumb than forcing people back into a car three days a week or whatever, to literally be back on the same Zoom meeting they would have been at home.&quot;",Negative,1,dropbox ceo drew houston says mandating return office 39like trying force people back malls movie theaters39quotwe lot less dumb forcing people back car three days week whatever literally back zoom meeting would homequot,Negative,1,,
"Happy Birthday, Prince.https://youtu.be/IK3M47asEno?si=GGEK16qyOfrnBC_r",Positive,1,happy birthday prince,Positive,1,,
"🌊 𝟱𝟬 𝗞𝗔𝗦𝗛𝗜𝗙 𝗔𝗟𝗜 👏Great work from Kash so far, let's keep going! 🙌Rapids 72/2 (8.4 overs)",Positive,1,𝟱𝟬 𝗞𝗔𝗦𝗛𝗜𝗙 𝗔𝗟𝗜 great work kash far lets keep going rapids 722 84 overs,Positive,1,,
"McCoy says: Last I checked, I&#39;m the doctor not the justification to commit time crimes.",Negative,1,mccoy says last checked i39m doctor justification commit time crimes,Negative,1,,
"Juan Soto will play in his 1,000th career game todayWith 212 HR and 820 BB, Soto joins Ted Williams (220 HR, 908 BB) and Frank Thomas (238, 829) as the only players in MLB history with 200+ homers and 800+ walks at the time of their 1,000th games",Positive,0.86,juan soto play 1000th career game todaywith 212 hr 820 bb soto joins ted williams 220 hr 908 bb frank thomas 238 829 players mlb history 200 homers 800 walks time 1000th games,Neutral,1,NEUTRAL,original
Feeling this so hard right now.RE: https://bsky.app/profile/did:plc:mebig6g6yvd5qfugmgrevb6u/post/3lqzrpc44ks2z,Negative,1,feeling hard right nowre,Negative,1,,
Did you attend summer school?https://www.resetera.com/threads/1211262#resetera,Neutral,1,attend summer school,Neutral,1,,
Grace under fire: Transgender student athlete's winning weekendGrace under fire: Transgender ...,Positive,1,grace fire transgender student athletes winning weekendgrace fire transgender,Positive,1,,
DELTARUNE CHAPTER 4 IS SO FUCKING GOOD!! OMGOMGOMGOMGOMG,Positive,1,deltarune chapter 4 fucking good omgomgomgomgomg,Positive,1,,
Why did the teddy bear say no to dessert? Because she was stuffed.,Neutral,1,teddy bear say dessert stuffed,Neutral,1,,
Carney''s biggest challenge - dubbing down his language to a level that Trump can at least understand the words even if he cannot comprehend their meaning.https://www.cbc.ca/news/politics/carney-trump-direct-talks-trade-tariffs-1.7553306,Neutral,1,carneys biggest challenge dubbing language level trump least understand words even comprehend meaning,Positive,0.48,NEGATIVE,original
"Vance says Musk making a ‘huge mistake’ for attacking Trump on social mediaBRIDGEWATER, N.J. (AP) — Vice President JD Vance said Elon Musk was making a “huge mistake” going after…#UnitedStates #US #USAhttps://www.europesays.com/2143848/",Negative,1,vance says musk making huge mistake attacking trump social mediabridgewater nj ap vice president jd vance said elon musk making huge mistake going afterunitedstates us usa,Negative,1,,
"Trump says he thinks the government has a ‘very easy case’ against Kilmar Abrego GarciaPresident Donald Trump on Saturday said that it wasn’t his decision to bring Kilmar Abrego Garcia, a Maryland…#UnitedStates #US #USAhttps://www.europesays.com/2143852/",Neutral,1,trump says thinks government easy case kilmar abrego garciapresident donald trump saturday said wasnt decision bring kilmar abrego garcia marylandunitedstates us usa,Neutral,0.98,,
‘Elon Musk suffers from hypomania’: Dr Drew Pinsky breaks down Tesla CEO’s ‘abnormal’ behaviorDr Drew said Elon Musk might be bipolar. Addiction medicine specialist Dr Drew Pinsky broke down Elon Musk’s…#UnitedStates #US #USAhttps://www.europesays.com/2143853/,Negative,1,elon musk suffers hypomania dr drew pinsky breaks tesla ceos abnormal behaviordr drew said elon musk might bipolar addiction medicine specialist dr drew pinsky broke elon musksunitedstates us usa,Negative,1,,
